UniqueID,descriptiveLine,copyNumber,creditLine,historicalContextNote,objectHistoryNote,object,summary,productionNote,recordCreationDate,uniqueID,physicalDescription,materialsTechniques,dimensionsNote,imageResolution,contentDescription,recordModificationDate,museumNumber,aspects: item_count,images: item_count,objectNumber: item_count,collectionCode,productionType
O1507331,70,0,41,0,0,7,1001,0,10,8,76,0,0,0,0,10,10,10,1,1,3,0
O1507329,54,0,41,0,0,8,1001,0,10,8,132,0,0,0,0,10,10,10,1,1,3,0
O1507327,105,0,142,0,0,15,0,0,10,8,0,0,0,0,0,10,12,1,0,1,3,0
O1507326,38,0,142,0,0,15,0,0,10,8,0,0,0,0,0,10,12,1,0,2,3,0
O1507325,31,0,142,0,54,15,0,0,10,8,0,0,0,0,0,10,12,1,0,1,3,0
O1507324,42,0,142,0,54,15,0,0,10,8,0,0,0,0,0,10,12,1,0,2,3,0
O1507323,61,0,142,0,54,15,0,0,10,8,0,0,0,0,0,10,12,1,0,1,3,0
O1507322,32,0,142,0,54,15,0,0,10,8,0,0,0,0,0,10,12,1,0,1,3,0
O1507321,72,0,41,0,0,5,1001,0,10,8,46,0,0,0,0,10,10,10,1,1,3,0
O1507320,87,0,41,0,0,7,1001,0,10,8,159,0,0,0,0,10,10,10,2,1,3,0
O1507319,72,0,41,0,0,7,1001,0,10,8,205,0,0,0,0,10,10,10,2,1,3,0
O1507318,72,0,41,0,0,7,1001,0,10,8,201,0,0,0,0,10,10,10,2,1,3,0
O1507316,71,0,41,0,0,6,1001,0,10,8,200,0,0,0,0,10,10,10,2,1,3,0
O1507315,71,0,41,0,0,6,1001,0,10,8,211,0,0,0,0,10,10,10,2,1,3,0
O1507314,72,0,41,0,0,7,1001,0,10,8,239,0,0,0,0,10,10,10,2,1,3,0
O1507313,73,0,41,0,0,7,1001,0,10,8,118,0,0,0,0,10,10,10,2,1,3,0
O1507312,102,0,41,0,0,7,1001,0,10,8,61,0,0,0,0,10,10,10,1,1,3,0
O1507311,86,0,41,0,0,7,1001,0,10,8,255,0,0,0,0,10,10,10,2,1,3,0
O1507310,10,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,6,1,0,1,3,0
O1507309,13,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,6,1,0,1,3,0
O1507308,13,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,6,1,0,1,3,0
O1507307,13,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,9,1,0,1,3,0
O1507305,13,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,9,1,0,1,3,0
O1507304,13,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,9,1,0,1,3,0
O1507302,13,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,7,1,0,1,3,0
O1507301,13,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,6,1,0,1,3,0
O1507300,14,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,6,1,0,1,3,0
O1507293,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,0,1,0,1,3,0
O1507292,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,0,1,0,1,3,0
O1507291,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,0,1,0,1,3,0
O1507290,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,0,1,0,1,3,0
O1507289,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,0,1,0,1,3,0
O1507288,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,10,0,1,0,1,3,0
O1507277,0,0,0,0,0,0,0,0,10,8,0,20,0,0,0,10,0,1,0,1,3,0
O1507276,0,0,0,0,0,0,0,0,10,8,0,20,0,0,0,10,0,1,0,1,3,0
O1507275,0,0,0,0,0,0,0,0,10,8,0,20,0,0,0,10,0,1,0,1,3,0
O1507274,0,0,0,0,0,0,0,0,10,8,0,20,0,0,0,10,0,1,0,1,3,0
O1507273,0,0,0,0,0,0,0,0,10,8,0,20,0,0,0,10,0,1,0,1,3,0
O1507272,0,0,0,0,0,0,0,0,10,8,0,20,0,0,0,10,0,1,0,1,3,0
O1507271,0,0,0,0,0,0,0,0,10,8,0,20,0,0,0,10,0,1,0,1,3,0
O1507270,0,0,0,0,0,0,0,0,10,8,0,20,0,0,0,10,0,1,0,1,3,0
O1507269,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507268,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507267,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507266,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507265,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507264,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507263,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507262,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507261,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507260,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507259,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507258,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507257,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507256,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
O1507255,0,0,0,0,0,0,0,0,10,8,0,20,0,4,0,10,14,1,0,1,3,0
